MUNICIPIO,COLONIA,indice,indice_texto
CUAJIMALPA DE MORELOS,SAN JOSE DE LOS CEDROS II,0.88699817692,Alto
,,,
GUSTAVO A. MADERO,ACUEDUCTO DE GUADALUPE (RDCIAL),0.94708272368, Muy Alto
GUSTAVO A. MADERO,ACUEDUCTO DE GUADALUPE (U HAB),0.93618167101, Muy Alto
GUSTAVO A. MADERO,AHUEHUETES,0.76314938,Muy Bajo
GUSTAVO A. MADERO,AIDEE SOL├ìS C├üRDENAS-MAT├ìAS ROMERO (U HAB),0.89128700286,Alto
GUSTAVO A. MADERO,ARAGON INGUARAN,0.89160790833,Alto
GUSTAVO A. MADERO,ARAGON LA VILLA (ARAGON),0.86686743684,Medio
GUSTAVO A. MADERO,ARBOLEDAS DE CUAUTEPEC,0.79876731765,Bajo
GUSTAVO A. MADERO,ARBOLEDAS DE CUAUTEPEC (AMPL),0.77529673571,Muy Bajo
GUSTAVO A. MADERO,ARROYO GUADALUPE (U HAB),0.9461065619, Muy Alto
GUSTAVO A. MADERO,BELISARIO DOMINGUEZ,0.822625825,Bajo
GUSTAVO A. MADERO,BENITO JUAREZ,0.81675151111,Bajo
GUSTAVO A. MADERO,BENITO JUAREZ (AMPL),0.78103176129,Bajo
GUSTAVO A. MADERO,BONDOJITO,0.867383976,Medio
GUSTAVO A. MADERO,C T M ARAGON (U),0.8991649,Alto
GUSTAVO A. MADERO,C T M ARAGON AMPLIACION (U),0.87314614667,Medio
GUSTAVO A. MADERO,CAMINO A SAN JUAN DE ARAGON (PBLO),0.85014298947,Medio
GUSTAVO A. MADERO,CAPULTITLAN,0.8006968,Bajo
GUSTAVO A. MADERO,CASTILLO CHICO,0.76151133684,Muy Bajo
GUSTAVO A. MADERO,CASTILLO GRANDE,0.79613398636,Bajo
GUSTAVO A. MADERO,CASTILLO GRANDE (AMPL),0.74920683226,Muy Bajo
GUSTAVO A. MADERO,CERRO PRIETO,0.8344599,Medio
