precio,ubicacion,tamanio,metros_cuadrados,num_baños,num_estacionamientos,num_recamaras,antiguedad
1800," Av Farallon 883,  Playas de Tijuana, Tijuana",10432,104,2,2,2,3
59000," Juan de la barrera,  Condesa, Cuauhtémoc",10021,2,1,2,2,1
43000," Life Condesa,  Hipódromo Condesa, Cuauhtémoc",12822,128,2,2,2,2
25500," chicontepec 5,  Hipódromo Condesa, Cuauhtémoc",11531,115,2,1,1,3
33000," Anillo Perif. Nte. Manuel Gómez Morín 1066,  Fraccionamiento Puerta del Valle, Zapopan",11022,2,2,2,2,2
13500," Avenida San Antonio No. 13,  Carola, Alvaro Obregón",6421,64,2,1,1,2
24000," Torre alarcon ,  Americana, Guadalajara",7411,74,1,1,1,1
24000," puerto méxico,  Roma Sur, Cuauhtémoc",12532,125,3,2,2,3
70000," PUERTO CANCUN,  Zona Hotelera, Cancún",19432,3,2,3,3,1
32000," Prolongación Paseo de la Reforma 291,  Santa Fe, Alvaro Obregón",12022,120,2,2,2,2
21500," privada arcadia,  Chablekal, Mérida",10022,100,2,2,2,2
26500," Cádiz  101,  Insurgentes Mixcoac, Benito Juárez",14631,146,2,1,1,3
25000," ANILLO PERIFERICO 3580,  Jardines del Pedregal, Alvaro Obregón",5711,57,1,1,1,1
51000," Chicontepec  57,  Hipódromo Condesa, Cuauhtémoc",9522,95,2,2,2,2
9400," PASEO DE ROMA 423,  Tejeda, Corregidora",10021,100,1,1,1,2
35000," puerto aventuras,  Puerto Aventuras, Solidaridad",12021,120,2,1,1,2
23000," AV HOLBOX,  Supermanzana 11, Cancún",23032,230,3,2,2,3
16999," Departamento Penthouse en Renta, 3 Recamaras, Roof Top, Lirios Res, Av. 135, Cancun.,  Cancún, Quintana Roo",10932,109,2,2,2,3
10950," ZAKIA,  Zákia, El Marqués",9521,2,1,2,2,1
25000," Av. Col. Del Valle 413,  Del Valle Centro, Benito Juárez",9331,93,2,1,1,3
6750000," Carretera mexico Toluca 5804,  Contadero, Cuajimalpa de Morelos",12522,125,2,2,2,2
30000," CALLE ABOGADO 104 COL JOSE N ROVIROSA,  Jose N Rovirosa, Villahermosa",15532,2,2,3,3,1
15500," ,  Extensión Vista Hermosa, Cuernavaca",7022,70,2,2,2,2
65000," Av.Patria ,  Puerta de Hierro, Zapopan",17232,4,2,3,3,3
22000," Camino a Diamante,  Paraíso, Los Cabos",9021,1,1,2,2,
23000," Av.Santa Fe,  Santa Fe, Alvaro Obregón",11022,2,2,2,2,15
25000," Aldama 11,  Tizapan, Alvaro Obregón",9622,2,2,2,2,11
17500," Prol.P de la Reforma 43, Lomas de Santa Fe,  Lomas de Santa Fe, Alvaro Obregón",8211,82,1,1,1,1
36000," Paseo de Tamarindos  ,  Bosques de las Lomas, Cuajimalpa de Morelos",22033,220,4,3,3,3
21900," diego de montemayor,  Centro, Monterrey",5921,1,1,2,2,3
19836," Renta de Departamento de Lujo de 95m2, Park Life Centro Sur.,  Centro Sur, Querétaro",9521,95,1,1,1,2
10900," AV TRIUNFO MADERISTA,  Zona Cementos Atoyac, Puebla",8721,87,2,1,1,2
62000," CARRETERA MEXICO TOLUCA # - ,  Bosques de las Lomas, Cuajimalpa de Morelos",23634,4,4,3,3,
17700," Los Sicomoros,  Los Sicomoros, Chihuahua",9621,96,2,1,1,2
35000," av tecamachalco ,  Reforma Social, Miguel Hidalgo",11012,1,2,1,1,1
29000," Juriquilla Santa Fe,  Juriquilla Santa Fe, Querétaro",10032,100,2,2,2,3
26000," Rio Tíber 56,  Cuauhtémoc, Cuauhtémoc",9021,90,2,1,1,2
39500," FRIDA KAHLO,  Zona Valle Oriente Norte, San Pedro Garza García",5011,1,1,1,1,
9800000," Antonio Dovali Jaime 115,  Santa Fe Cuajimalpa, Cuajimalpa de Morelos",19832,3,2,3,3,12
18000," Naciones unidas 4732,  Jardines Universidad, Zapopan",6021,60,2,1,1,2
40000," SINALOA # 170, ROMA NORTE, CUAUHTEMOC, CDMX, 06700,  Roma Norte, Cuauhtémoc",6522,2,2,2,2,5
60000," Vive Fuentes,  Del Valle, San Pedro Garza García",17832,178,2,2,2,3
27000," Sinaloa,  Roma Norte, Cuauhtémoc",5511,55,1,1,1,1
46000," Río Churubusco 601,  Xoco, Benito Juárez",12522,125,2,2,2,2
110000," Avenida Santa Fe 546,  Santa Fe Cuajimalpa, Cuajimalpa de Morelos",27534,4,4,3,3,1
32500," Chicontepec s/n,  Condesa, Cuauhtémoc",8022,80,2,2,2,2
65000," Av. Patria 1891,  Puerta de Hierro, Zapopan",17132,171,4,2,2,3
11500," Puente del Mar,  Ampliacion Plan de los Amates, Acapulco de Juárez",7621,76,2,1,1,2
13500," Manzano 204,  Mexicaltzingo, Guadalajara",9331,93,2,1,1,3
