precio,ubicacion,tamanio,direccion,colonia,alcaldia
5000," Av Texcoco 29, Cuchilla del Tesoro, Ciudad de México, CDMX, México,  Cuchilla del Tesoro, Gustavo A. Madero",17, Av Texcoco 29, Cuchilla del Tesoro," Ciudad de México, CDMX, México,  Cuchilla del Tesoro, Gustavo A. Madero"
40000," Av. Insurgentes Sur,  Juárez, Cuauhtémoc",80, Av. Insurgentes Sur,  Juárez, Cuauhtémoc
50000," Cráter 823,  Jardines del Pedregal de San Ángel, Coyoacán",801, Cráter 823,  Jardines del Pedregal de San Ángel, Coyoacán
3500," Luis Yurem  258,  C.T.M. El Risco, Gustavo A. Madero",12, Luis Yurem  258,  C.T.M. El Risco, Gustavo A. Madero
25000," Av Lomas de Sotelo,  Lomas de Sotelo, Miguel Hidalgo",751, Av Lomas de Sotelo,  Lomas de Sotelo, Miguel Hidalgo
8000," CALZADA ERMITA IZTAPALAPA,  Cacama, Iztapalapa",20, CALZADA ERMITA IZTAPALAPA,  Cacama, Iztapalapa
20880," Av. del Peñón,  Moctezuma, Venustiano Carranza",21, Av. del Peñón,  Moctezuma, Venustiano Carranza
19200," Manzanillo,  Roma Norte, Cuauhtémoc",69, Manzanillo,  Roma Norte, Cuauhtémoc
13000," San Isidro 288 local C,  San Bartolo Cahualtongo, Azcapotzalco",732, San Isidro 288 local C,  San Bartolo Cahualtongo, Azcapotzalco
30096," Renta de Local Comercial en Corporativo San ta Fe,  Las Tinajas, Cuajimalpa de Morelos",50, Renta de Local Comercial en Corporativo San ta Fe,  Las Tinajas, Cuajimalpa de Morelos
20000," Playa Villa DEL Mar, Militar Marte,  Militar Marte, Iztacalco",451, Playa Villa DEL Mar, Militar Marte,"  Militar Marte, Iztacalco"
28000," Ejército Nacional 576 A,  Polanco IV Sección, Polanco",38, Ejército Nacional 576 A,  Polanco IV Sección, Polanco
19500," Cuauhtémoc ,  Narvarte Poniente, Benito Juárez",10, Cuauhtémoc ,  Narvarte Poniente, Benito Juárez
28541," Renta de Local Comercial en Cuajimalpa,  Manzanastitla, Cuajimalpa de Morelos",77, Renta de Local Comercial en Cuajimalpa,  Manzanastitla, Cuajimalpa de Morelos
6800," Eje 2 Poniente Gabriel Mancera 1302 Consultorio 4,  Del Valle Sur, Benito Juárez",16, Eje 2 Poniente Gabriel Mancera 1302 Consultorio 4,  Del Valle Sur, Benito Juárez
33000," Av. Universidad S/N,  Coyoacán, Ciudad de México",60, Av. Universidad S/N,  Coyoacán, Ciudad de México
8300," AV, CHICOASEN,  Héroes de Padierna, Tlalpan",161, AV, CHICOASEN,"  Héroes de Padierna, Tlalpan"
10000," GUERRERO,  Cuajimalpa, Cuajimalpa de Morelos",551, GUERRERO,  Cuajimalpa, Cuajimalpa de Morelos
8500," Periferico Sur,  Pedregal de Carrasco, Coyoacán",42, Periferico Sur,  Pedregal de Carrasco, Coyoacán
12500," Av. Vallejo 621 Magdalena de las Salinas,  Vallejo, Gustavo A. Madero",48, Av. Vallejo 621 Magdalena de las Salinas,  Vallejo, Gustavo A. Madero
22000," Fabrica de Cartuchos 9,  Lomas del Chamizal, Cuajimalpa de Morelos",502, Fabrica de Cartuchos 9,  Lomas del Chamizal, Cuajimalpa de Morelos
10000," Local en Renta Excelente Ubicación.,  Santa Úrsula Xitla, Tlalpan",14, Local en Renta Excelente Ubicación.,  Santa Úrsula Xitla, Tlalpan
37000," Tabasco,  Roma Norte, Cuauhtémoc",551, Tabasco,  Roma Norte, Cuauhtémoc
55500," Alfonso Reyes,  Hipódromo Condesa, Cuauhtémoc",51, Alfonso Reyes,  Hipódromo Condesa, Cuauhtémoc
14875," Calzada La Viga 641, Local C,  San Francisco Xicaltongo, Iztacalco",34, Calzada La Viga 641, Local C,"  San Francisco Xicaltongo, Iztacalco"
16000," Dr Carmona y Valle ,  Doctores, Cuauhtémoc",32, Dr Carmona y Valle ,  Doctores, Cuauhtémoc
7000," EL TANQUE,  Palmas, La Magdalena Contreras",16, EL TANQUE,  Palmas, La Magdalena Contreras
9000," Lago Constanza,  Lago Sur, Miguel Hidalgo",483, Lago Constanza,  Lago Sur, Miguel Hidalgo
27000," Monte Athos,  Lomas de Chapultepec, Miguel Hidalgo",22, Monte Athos,  Lomas de Chapultepec, Miguel Hidalgo
18000," YUCATAN ,  Hipódromo Condesa, Cuauhtémoc",251, YUCATAN ,  Hipódromo Condesa, Cuauhtémoc
24000," Calzada Desierto de los Leones 5211,  Tetelpan, Alvaro Obregón",70, Calzada Desierto de los Leones 5211,  Tetelpan, Alvaro Obregón
14000," Campos Elíseos 526,  Polanco, Miguel Hidalgo",3, Campos Elíseos 526,  Polanco, Miguel Hidalgo
7500," Queretaro,  Progreso Tizapán, Alvaro Obregón",28, Queretaro,  Progreso Tizapán, Alvaro Obregón
17500," JARDIN  BALBUENA , VENUSTIANO CARRANZA ,  Jardín Balbuena, Venustiano Carranza",671, JARDIN  BALBUENA , VENUSTIANO CARRANZA ,"  Jardín Balbuena, Venustiano Carranza"
46926," ,  Residencial Zacatenco, Gustavo A. Madero",78, ,  Residencial Zacatenco, Gustavo A. Madero
8000," Manuel Payno ,  Obrera, Cuauhtémoc",35, Manuel Payno ,  Obrera, Cuauhtémoc
14000," 5 de febrero,  Obrera, Cuauhtémoc",42, 5 de febrero,  Obrera, Cuauhtémoc
46000," Insurgentes Sur,  Juárez, Cuauhtémoc",80, Insurgentes Sur,  Juárez, Cuauhtémoc
22000," Insurgentes Sur 1391,  Insurgentes Mixcoac, Benito Juárez",53500, Insurgentes Sur 1391,  Insurgentes Mixcoac, Benito Juárez
350," Moliere y Rio San Joaquin,  Ampliación Granada, Miguel Hidalgo",70, Moliere y Rio San Joaquin,  Ampliación Granada, Miguel Hidalgo
41940," ,  Santa Fe Cuajimalpa, Cuajimalpa de Morelos",4525, ,  Santa Fe Cuajimalpa, Cuajimalpa de Morelos
10000," EJIDO DE SANTA BARBARA 53,  Ex-Ejido de San Francisco CulhuacAn, Coyoacán",30, EJIDO DE SANTA BARBARA 53,  Ex-Ejido de San Francisco CulhuacAn, Coyoacán
10000," Homero,  Polanco V Sección, Polanco",11, Homero,  Polanco V Sección, Polanco
35000," Local Renta en la Obrera,  Obrera, Cuauhtémoc",57, Local Renta en la Obrera,  Obrera, Cuauhtémoc
17202," Renta de Local de 57.34 m2 en Plaza Comercial Arenal Terrazas,  Santa María Tepepan, Xochimilco",57, Renta de Local de 57.34 m2 en Plaza Comercial Arenal Terrazas,  Santa María Tepepan, Xochimilco
700," Ermita Iztapalapa,  El Santuario, Iztapalapa",25, Ermita Iztapalapa,  El Santuario, Iztapalapa
62000," Baja California,  Condesa, Cuauhtémoc",56, Baja California,  Condesa, Cuauhtémoc
